sex,age,education,birth_in_canada,province,income_family,vote_Liberal,cell
Male,18-29,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 18-29 College/Associate Degree level 3
Female,18-29,College/Associate Degree,Yes,Ontario,level 3,Liberal,Ontario 18-29 College/Associate Degree level 3
Female,18-29,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 18-29 College/Associate Degree level 2
Male,18-29,Highschool,Yes,Ontario,level 3,Liberal,Ontario 18-29 Highschool level 3
Female,18-29,Highschool,Yes,Ontario,level 2,Liberal,Ontario 18-29 Highschool level 2
Female,18-29,Highschool,No,Ontario,level 1,Others,Ontario 18-29 Highschool level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Female,18-29,College/Associate Degree,No,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Male,18-29,Highschool,Yes,Ontario,level 1,Liberal,Ontario 18-29 Highschool level 1
Male,18-29,College/Associate Degree,No,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Female,18-29,Grade12&under,Yes,Ontario,level 2,Liberal,Ontario 18-29 Grade12&under level 2
Male,18-29,Grade12&under,Yes,Ontario,level 3,Liberal,Ontario 18-29 Grade12&under level 3
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 18-29 College/Associate Degree level 3
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Female,18-29,Highschool,Yes,Ontario,level 1,Liberal,Ontario 18-29 Highschool level 1
Female,18-29,College/Associate Degree,No,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Female,18-29,Grade12&under,Yes,Ontario,level 2,Others,Ontario 18-29 Grade12&under level 2
Female,18-29,College/Associate Degree,No,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Male,18-29,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 18-29 College/Associate Degree level 2
Female,18-29,Highschool,Yes,Ontario,level 2,Others,Ontario 18-29 Highschool level 2
Female,18-29,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 18-29 College/Associate Degree level 2
Female,18-29,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 18-29 College/Associate Degree level 2
Female,18-29,College/Associate Degree,Yes,Ontario,level 3,Liberal,Ontario 18-29 College/Associate Degree level 3
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 2,Others,Ontario 18-29 Bachelor&under(uni) level 2
Male,18-29,Highschool,Yes,Ontario,level 1,Liberal,Ontario 18-29 Highschool level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 18-29 College/Associate Degree level 2
Female,18-29,Grade12&under,Yes,Ontario,level 2,Others,Ontario 18-29 Grade12&under level 2
Female,18-29,Bachelor&under(uni),No,Ontario,level 1,Liberal,Ontario 18-29 Bachelor&under(uni) level 1
Female,18-29,AboveBachelor(uni),Yes,Ontario,level 2,Others,Ontario 18-29 AboveBachelor(uni) level 2
Female,60-69,Highschool,Yes,Saskatchewan,level 2,Others,Saskatchewan 60-69 Highschool level 2
Male,40-49,College/Associate Degree,Yes,Quebec,level 1,Others,Quebec 40-49 College/Associate Degree level 1
Female,60-69,Bachelor&under(uni),No,British Columbia,level 2,Liberal,British Columbia 60-69 Bachelor&under(uni) level 2
Female,60-69,Bachelor&under(uni),Yes,Manitoba,level 3,Liberal,Manitoba 60-69 Bachelor&under(uni) level 3
Female,30-39,AboveBachelor(uni),Yes,Ontario,level 2,Others,Ontario 30-39 AboveBachelor(uni) level 2
Male,70-79,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 70-79 College/Associate Degree level 1
Male,40-49,AboveBachelor(uni),Yes,Nova Scotia,level 2,Others,Nova Scotia 40-49 AboveBachelor(uni) level 2
Female,50-59,Highschool,Yes,Ontario,level 1,Liberal,Ontario 50-59 Highschool level 1
Male,50-59,Bachelor&under(uni),No,Alberta,level 2,Others,Alberta 50-59 Bachelor&under(uni) level 2
Female,30-39,Bachelor&under(uni),No,Ontario,level 3,Others,Ontario 30-39 Bachelor&under(uni) level 3
Female,60-69,Highschool,Yes,Manitoba,level 2,Others,Manitoba 60-69 Highschool level 2
Male,60-69,Bachelor&under(uni),No,Ontario,level 3,Others,Ontario 60-69 Bachelor&under(uni) level 3
Female,30-39,Highschool,No,Ontario,level 1,Others,Ontario 30-39 Highschool level 1
Female,30-39,College/Associate Degree,Yes,British Columbia,level 1,Others,British Columbia 30-39 College/Associate Degree level 1
Female,60-69,Bachelor&under(uni),Yes,Quebec,level 2,Others,Quebec 60-69 Bachelor&under(uni) level 2
Female,60-69,Bachelor&under(uni),Yes,Quebec,level 2,Others,Quebec 60-69 Bachelor&under(uni) level 2
Male,30-39,Highschool,Yes,Prince Edward Island,level 1,Others,Prince Edward Island 30-39 Highschool level 1
Female,40-49,AboveBachelor(uni),Yes,Quebec,level 2,Others,Quebec 40-49 AboveBachelor(uni) level 2
Male,70-79,Grade12&under,Yes,Ontario,level 1,Liberal,Ontario 70-79 Grade12&under level 1
Female,70-79,Highschool,Yes,Newfoundland and Labrador,level 2,Others,Newfoundland and Labrador 70-79 Highschool level 2
Female,70-79,Bachelor&under(uni),Yes,Ontario,level 3,Liberal,Ontario 70-79 Bachelor&under(uni) level 3
Female,30-39,Bachelor&under(uni),Yes,Ontario,level 1,Liberal,Ontario 30-39 Bachelor&under(uni) level 1
Female,60-69,Highschool,Yes,Quebec,level 1,Others,Quebec 60-69 Highschool level 1
Female,50-59,College/Associate Degree,Yes,New Brunswick,level 1,Liberal,New Brunswick 50-59 College/Associate Degree level 1
Male,40-49,Bachelor&under(uni),No,Ontario,level 2,Liberal,Ontario 40-49 Bachelor&under(uni) level 2
Male,60-69,Highschool,Yes,Ontario,level 3,Others,Ontario 60-69 Highschool level 3
Female,70-79,Highschool,Yes,Quebec,level 1,Others,Quebec 70-79 Highschool level 1
Female,40-49,Bachelor&under(uni),Yes,Quebec,level 3,Others,Quebec 40-49 Bachelor&under(uni) level 3
Male,70-79,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 70-79 College/Associate Degree level 2
Female,60-69,Bachelor&under(uni),Yes,Ontario,level 1,Liberal,Ontario 60-69 Bachelor&under(uni) level 1
Male,18-29,Bachelor&under(uni),No,Quebec,level 2,Liberal,Quebec 18-29 Bachelor&under(uni) level 2
